dev-category,NAME OF DATA ELEMENT,developer-friendly name,API data type,VARIABLE NAME
academics,"Bachelor's degree in Agriculture, Agriculture Operations, And Related Sciences.",program.bachelors.agriculture,integer,CIP01BACHL
academics,Bachelor's degree in Architecture And Related Services.,program.bachelors.architecture,integer,CIP04BACHL
academics,"Bachelor's degree in Area, Ethnic, Cultural, Gender, And Group Studies.",program.bachelors.ethnic_cultural_gender,integer,CIP05BACHL
academics,Bachelor's degree in Biological And Biomedical Sciences.,program.bachelors.biological,integer,CIP26BACHL
academics,"Bachelor's degree in Business, Management, Marketing, And Related Support Services.",program.bachelors.business_marketing,integer,CIP52BACHL
academics,"Bachelor's degree in Communication, Journalism, And Related Programs.",program.bachelors.communication,integer,CIP09BACHL
academics,Bachelor's degree in Communications Technologies/Technicians And Support Services.,program.bachelors.communications_technology,integer,CIP10BACHL
academics,Bachelor's degree in Computer And Information Sciences And Support Services.,program.bachelors.computer,integer,CIP11BACHL
academics,Bachelor's degree in Construction Trades.,program.bachelors.construction,integer,CIP46BACHL
academics,Bachelor's degree in Education.,program.bachelors.education,integer,CIP13BACHL
academics,Bachelor's degree in Engineering Technologies And Engineering-Related Fields.,program.bachelors.engineering_technology,integer,CIP15BACHL
academics,Bachelor's degree in Engineering.,program.bachelors.engineering,integer,CIP14BACHL
academics,Bachelor's degree in English Language And Literature/Letters.,program.bachelors.english,integer,CIP23BACHL
academics,Bachelor's degree in Family And Consumer Sciences/Human Sciences.,program.bachelors.family_consumer_science,integer,CIP19BACHL
academics,"Bachelor's degree in Foreign Languages, Literatures, And Linguistics.",program.bachelors.language,integer,CIP16BACHL
academics,Bachelor's degree in Health Professions And Related Programs.,program.bachelors.health,integer,CIP51BACHL
academics,Bachelor's degree in History.,program.bachelors.history,integer,CIP54BACHL
academics,"Bachelor's degree in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",program.bachelors.security_law_enforcement,integer,CIP43BACHL
academics,Bachelor's degree in Legal Professions And Studies.,program.bachelors.legal,integer,CIP22BACHL
academics,"Bachelor's degree in Liberal Arts And Sciences, General Studies And Humanities.",program.bachelors.humanities,integer,CIP24BACHL
academics,Bachelor's degree in Library Science.,program.bachelors.library,integer,CIP25BACHL
academics,Bachelor's degree in Mathematics And Statistics.,program.bachelors.mathematics,integer,CIP27BACHL
academics,Bachelor's degree in Mechanic And Repair Technologies/Technicians.,program.bachelors.mechanic_repair_technology,integer,CIP47BACHL
academics,Bachelor's degree in Military Technologies And Applied Sciences.,program.bachelors.military,integer,CIP29BACHL
academics,Bachelor's degree in Multi/Interdisciplinary Studies.,program.bachelors.multidiscipline,integer,CIP30BACHL
academics,Bachelor's degree in Natural Resources And Conservation.,program.bachelors.resources,integer,CIP03BACHL
academics,"Bachelor's degree in Parks, Recreation, Leisure, And Fitness Studies.",program.bachelors.parks_recreation_fitness,integer,CIP31BACHL
academics,Bachelor's degree in Personal And Culinary Services.,program.bachelors.personal_culinary,integer,CIP12BACHL
academics,Bachelor's degree in Philosophy And Religious Studies.,program.bachelors.philosophy_religious,integer,CIP38BACHL
academics,Bachelor's degree in Physical Sciences.,program.bachelors.physical_science,integer,CIP40BACHL
academics,Bachelor's degree in Precision Production.,program.bachelors.precision_production,integer,CIP48BACHL
academics,Bachelor's degree in Psychology.,program.bachelors.psychology,integer,CIP42BACHL
academics,Bachelor's degree in Public Administration And Social Service Professions.,program.bachelors.public_administration_social_service,integer,CIP44BACHL
academics,Bachelor's degree in Science Technologies/Technicians.,program.bachelors.science_technology,integer,CIP41BACHL
academics,Bachelor's degree in Social Sciences.,program.bachelors.social_science,integer,CIP45BACHL
academics,Bachelor's degree in Theology And Religious Vocations.,program.bachelors.theology_religious_vocation,integer,CIP39BACHL
academics,Bachelor's degree in Transportation And Materials Moving.,program.bachelors.transportation,integer,CIP49BACHL
academics,Bachelor's degree in Visual And Performing Arts.,program.bachelors.visual_performing,integer,CIP50BACHL
academics,"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences.",program_percentage.agriculture,float,PCIP01
academics,Percentage of degrees awarded in Architecture And Related Services.,program_percentage.architecture,float,PCIP04
academics,"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies.",program_percentage.ethnic_cultural_gender,float,PCIP05
academics,Percentage of degrees awarded in Biological And Biomedical Sciences.,program_percentage.biological,float,PCIP26
academics,"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services.",program_percentage.business_marketing,float,PCIP52
academics,"Percentage of degrees awarded in Communication, Journalism, And Related Programs.",program_percentage.communication,float,PCIP09
academics,Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.,program_percentage.communications_technology,float,PCIP10
academics,Percentage of degrees awarded in Computer And Information Sciences And Support Services.,program_percentage.computer,float,PCIP11
academics,Percentage of degrees awarded in Construction Trades.,program_percentage.construction,float,PCIP46
academics,Percentage of degrees awarded in Education.,program_percentage.education,float,PCIP13
academics,Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.,program_percentage.engineering_technology,float,PCIP15
academics,Percentage of degrees awarded in Engineering.,program_percentage.engineering,float,PCIP14
academics,Percentage of degrees awarded in English Language And Literature/Letters.,program_percentage.english,float,PCIP23
academics,Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.,program_percentage.family_consumer_science,float,PCIP19
academics,"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics.",program_percentage.language,float,PCIP16
academics,Percentage of degrees awarded in Health Professions And Related Programs.,program_percentage.health,float,PCIP51
academics,Percentage of degrees awarded in History.,program_percentage.history,float,PCIP54
academics,"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",program_percentage.security_law_enforcement,float,PCIP43
academics,Percentage of degrees awarded in Legal Professions And Studies.,program_percentage.legal,float,PCIP22
academics,"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities.",program_percentage.humanities,float,PCIP24
academics,Percentage of degrees awarded in Library Science.,program_percentage.library,float,PCIP25
academics,Percentage of degrees awarded in Mathematics And Statistics.,program_percentage.mathematics,float,PCIP27
